=,120.40.130.70,2016-12-03 07:50:51,2016-12-03 07:50:51,botnet,[],botscout.com,65,6190,2016-06-12 00:37:01,中国-福建-莆田-电信,CN,1,Linux 2.6.18 - 2.6.22,30005
+,120.26.119.189,2016-12-03 08:12:16,2016-12-03 08:12:16,bot,ftp,blocklist.de,75,14,2016-09-08 01:25:28,中国-浙江-杭州-阿里云/电信/联通/移动/铁通/教育网,CN,0,[],[]
=,120.27.31.154,2016-12-03 08:12:16,2016-12-03 08:12:16,bot,ftp,blocklist.de,75,4,2016-09-24 01:17:21,中国-山东-青岛-阿里云/电信/联通/移动/铁通/教育网,CN,1,Microsoft Windows Vista Enterprise,80-1433-2383-3389-47001-49152-49153-49154-49171-61540-61759
=,120.52.94.22,2016-12-03 08:12:16,2016-12-03 08:12:16,bot,ftp,blocklist.de,75,2,2016-09-26 12:30:12,中国-河北-廊坊-联通,CN,0,[],[]
+,120.76.163.234,2016-12-03 08:12:16,2016-12-03 08:12:16,bot,ftp,blocklist.de,75,88,2016-06-11 00:05:19,中国-广东-深圳-阿里云/电信/联通/移动/铁通/教育网,CN,0,[],[]
+,123.123.81.131,2016-12-03 08:12:16,2016-12-03 08:12:16,bot,ftp,blocklist.de,75,2,2016-09-26 01:46:49,中国-北京-北京-联通,CN,0,[],[]
=,123.126.109.213,2016-12-03 08:12:16,2016-12-03 08:12:16,bot,ftp,blocklist.de,75,114,2016-06-12 00:39:01,中国-北京-北京-联通,CN,1,D-LinkDWL-624+orDWL-2000AP_orTRENDnetTEW-432BRPWAP,80-443-8887
=,123.56.245.46,2016-12-03 08:12:16,2016-12-03 08:12:16,bot,ftp,blocklist.de,75,35,2016-08-17 03:06:58,中国-北京-北京-阿里云/电信/联通/移动/铁通/教育网,CN,1,HP ProCurve MSM422 WAP,139-3389-47001-60330
=,124.207.216.2,2016-12-03 08:12:16,2016-12-03 08:12:16,bot,ftp,blocklist.de,75,5,2016-09-23 03:01:02,中国-北京-北京-鹏博士/联通,CN,1,Motorola AP-51xx WAP,80-443-8887-37777-60443
+,124.228.186.96,2016-12-03 08:12:16,2016-12-03 08:12:16,bot,ftp,blocklist.de,75,2,2016-09-26 01:46:49,中国-湖南-衡阳-电信,CN,0,[],[]
=,125.93.83.66,2016-12-03 08:12:16,2016-12-03 08:12:16,bot,ftp,blocklist.de,75,4,2016-09-23 03:01:02,中国-广东-东莞-电信,CN,0,[],[]
+,125.93.86.4,2016-12-03 08:12:16,2016-12-03 08:12:16,bot,ftp,blocklist.de,75,42,2016-06-12 10:38:35,中国-广东-东莞-电信,CN,1,H3C Comware 5.20,23-443-1998-7547-12986-13523-16240-17403
=,139.196.181.68,2016-12-03 08:12:16,2016-12-03 08:12:16,bot,ftp,blocklist.de,75,68,2016-06-12 00:39:01,中国-上海-上海-阿里云/电信/联通/移动/铁通/教育网,CN,1,None,49161
+,139.196.49.112,2016-12-03 08:12:16,2016-12-03 08:12:16,bot,ftp,blocklist.de,75,91,2016-06-12 00:39:01,中国-上海-上海-阿里云/电信/联通/移动/铁通/教育网,CN,1,MicrosoftWindows7_WindowsServer2012_orWindows8.1Update1,21-80-1433-3306-3389-5985-47001-49152-49153-49154-49157-49158
=,139.224.60.152,2016-12-03 08:12:16,2016-12-03 08:12:16,bot,ftp,blocklist.de,75,4,2016-09-24 01:17:21,中国-上海-上海-阿里云/电信/联通/移动/铁通/教育网,CN,1,Microsoft Windows Phone 7.5 or 8.0,1433
+,171.126.101.233,2016-12-03 08:12:16,2016-12-03 08:12:16,bot,ftp,blocklist.de,75,4,2016-09-25 06:13:20,中国-山西-晋城-联通,CN,0,[],[]
+,171.126.217.35,2016-12-03 08:12:16,2016-12-03 08:12:16,bot,ftp,blocklist.de,75,3,2016-09-26 09:32:26,中国-山西-晋城-联通,CN,0,[],[]
+,171.38.66.48,2016-12-03 08:12:16,2016-12-03 08:12:16,bot,ftp,blocklist.de,75,2,2016-09-26 01:46:49,中国-广西-玉林-联通,CN,0,[],[]
+,180.97.221.131,2016-12-03 08:12:16,2016-12-03 08:12:16,bot,ftp,blocklist.de,75,49,2016-06-12 00:39:01,中国-江苏-镇江-电信,CN,1,Microsoft Windows XP,33001
=,182.244.84.50,2016-12-03 08:12:16,2016-12-03 08:12:16,bot,ftp,blocklist.de,75,3,2016-09-25 08:20:51,中国-云南-楚雄彝族自治州-电信,CN,0,[],[]
+,183.165.182.53,2016-12-03 08:12:16,2016-12-03 08:12:16,bot,ftp,blocklist.de,75,2,2016-09-26 07:32:31,中国-安徽-六安-电信,CN,0,[],[]
=,222.220.145.63,2016-12-03 08:12:16,2016-12-03 08:12:16,bot,ftp,blocklist.de,75,3,2016-09-25 05:16:59,中国-云南-昭通-电信,CN,1,[],[]
+,222.76.160.136,2016-12-03 08:12:16,2016-12-03 08:12:16,bot,ftp,blocklist.de,75,1,2016-12-03 08:12:16,中国-福建-厦门-电信,CN,0,[],[]
+,222.76.177.235,2016-12-03 08:12:16,2016-12-03 08:12:16,bot,ftp,blocklist.de,75,2,2016-09-26 11:33:38,中国-福建-厦门-电信,CN,0,[],[]
=,223.150.100.122,2016-12-03 08:12:16,2016-12-03 08:12:16,bot,ftp,blocklist.de,75,2,2016-09-26 12:30:12,中国-湖南-常德-电信,CN,1,[],[]
=,223.150.100.31,2016-12-03 08:12:16,2016-12-03 08:12:16,bot,ftp,blocklist.de,75,3,2016-09-25 07:17:03,中国-湖南-常德-电信,CN,1,[],[]
=,27.202.92.143,2016-12-03 08:12:16,2016-12-03 08:12:16,bot,ftp,blocklist.de,75,2,2016-09-26 07:32:31,中国-山东-东营-联通,CN,1,[],[]
+,42.48.119.58,2016-12-03 08:12:16,2016-12-03 08:12:16,bot,ftp,blocklist.de,75,4,2016-09-24 03:13:10,中国-湖南-郴州-联通,CN,0,[],[]
=,43.255.179.151,2016-12-03 08:12:16,2016-12-03 08:12:16,bot,ftp,blocklist.de,75,4,2016-09-26 03:47:54,中国-北京-北京-电信,CN,0,[],[]
=,43.255.179.159,2016-12-03 08:12:16,2016-12-03 08:12:16,bot,ftp,blocklist.de,75,4,2016-09-26 07:32:31,中国-北京-北京-电信,CN,0,[],[]
=,58.16.141.26,2016-12-03 08:12:16,2016-12-03 08:12:16,bot,ftp,blocklist.de,75,75,2016-06-13 01:08:32,中国-贵州-贵阳-联通,CN,1,MicrosoftWindowsVistaHomePremiumSP1_Windows7_orWindowsServer2008,80-8080
=,58.20.20.220,2016-12-03 08:12:16,2016-12-03 08:12:16,bot,ftp,blocklist.de,75,3,2016-09-25 05:16:59,中国-湖南-长沙-联通,CN,0,[],[]
+,58.20.82.220,2016-12-03 08:12:16,2016-12-03 08:12:16,bot,ftp,blocklist.de,75,3,2016-09-25 05:16:59,中国-湖南-长沙-联通,CN,1,[],[]
=,58.247.249.190,2016-12-03 08:12:16,2016-12-03 08:12:16,bot,ftp,blocklist.de,75,61,2016-08-08 02:55:33,中国-上海-上海-联通,CN,0,[],[]
+,59.57.149.206,2016-12-03 08:12:16,2016-12-03 08:12:16,bot,ftp,blocklist.de,75,1,2016-12-03 08:12:16,中国-福建-厦门-电信,CN,0,[],[]
=,60.13.165.186,2016-12-03 08:12:16,2016-12-03 08:12:16,bot,ftp,blocklist.de,75,98,2016-06-25 07:20:36,中国-新疆-乌鲁木齐-联通,CN,0,[],[]
=,60.162.128.116,2016-12-03 08:12:16,2016-12-03 08:12:16,bot,ftp,blocklist.de,75,3,2016-09-25 05:16:59,中国-浙江-台州-电信,CN,1,[],[]
=,58.195.1.4,2016-12-03 08:23:21,2016-12-03 08:23:21,zeus_botnet,[],zeustracker.abuse.ch,65,177,中国-湖北-武汉-湖北第二师范学院-教育网,2016-06-12 00:49:17,0,[],[]
=,14.28.49.105,2016-12-03 08:34:18,2016-12-03 08:34:17,exploit,[],spamhaus.org,95,6,2016-09-26 03:16:07,中国-广东-肇庆-电信,CN,0,[],[]
=,183.57.17.194,2016-12-03 08:41:24,2016-12-03 08:41:24,proxy,[],txt.proxyspy.net,75,12,2016-09-05 01:35:20,中国-广东-珠海-电信,CN,1,D-LinkDIR-615_Encore3G_orEnGeniusESR-9752WAP,1080-1111
+,218.106.205.145,2016-12-03 08:41:24,2016-12-03 08:41:24,proxy,[],txt.proxyspy.net,75,74,2016-06-12 02:17:45,中国-辽宁-沈阳-联通,CN,0,[],[]
+,101.254.188.198,2016-12-03 08:41:24,2016-12-03 08:41:24,proxy,[],txt.proxyspy.net,75,13,2016-06-12 06:49:51,中国-北京-北京-电信,CN,1,NetgearCG814WGv2_ThomsonTWG870U_orUbeeDVW3201Bwirelesscablemodem,53-443-1723
=,117.169.4.43,2016-12-03 08:41:24,2016-12-03 08:41:24,proxy,[],txt.proxyspy.net,75,83,2016-07-25 05:15:07,中国-江西-南昌-移动,CN,0,[],[]
=,124.88.67.32,2016-12-03 08:41:24,2016-12-03 08:41:24,proxy,[],txt.proxyspy.net,75,52,2016-08-24 01:02:25,中国-新疆-乌鲁木齐-联通,CN,1,[],[]
+,221.229.170.92,2016-12-03 08:41:24,2016-12-03 08:41:24,proxy,[],txt.proxyspy.net,75,1,2016-12-03 08:41:24,中国-江苏-徐州-电信,CN,0,[],[]
+,120.52.72.23,2016-12-03 08:41:24,2016-12-03 08:41:24,proxy,[],txt.proxyspy.net,75,1,2016-12-03 08:41:24,中国-河北-廊坊-联通,CN,1,Apple TV (iOS 5.2.1),443
+,221.229.170.78,2016-12-03 08:41:24,2016-12-03 08:41:24,proxy,[],txt.proxyspy.net,75,1,2016-12-03 08:41:24,中国-江苏-徐州-电信,CN,1,OpenWrt Kamikaze 8.09 (Linux 2.6.25 - 2.6.26),4030
+,183.95.11.158,2016-12-03 08:41:24,2016-12-03 08:41:24,proxy,[],txt.proxyspy.net,75,1,2016-12-03 08:41:24,中国-湖北-恩施土家族苗族自治州-联通,CN,1,[],[]
=,140.206.118.133,2016-12-03 08:44:21,2016-12-03 08:44:21,exploit,ftp,spamhaus.org,95,60,2016-06-13 09:54:20,中国-上海-上海-联通,CN,0,[],[]
=,222.72.133.180,2016-12-03 08:45:54,2016-12-03 08:45:53,exploit,ftp,spamhaus.org,95,142,2016-06-12 04:36:44,中国-上海-上海-电信,CN,0,[],[]
+,218.77.80.131,2016-12-03 08:46:22,2016-12-03 08:46:22,exploit,ftp,spamhaus.org,95,75,2016-07-15 00:18:32,中国-湖南-永州-电信,CN,1,Linux 2.6.32,25-110-9000-51111
=,222.72.133.182,2016-12-03 08:47:03,2016-12-03 08:47:03,exploit,ftp,spamhaus.org,95,127,2016-06-12 00:39:01,中国-上海-上海-电信,CN,0,[],[]
=,182.246.91.212,2016-12-03 08:47:47,2016-12-03 08:47:46,exploit,ftp,spamhaus.org,95,3,2016-09-26 01:46:49,中国-云南-大理白族自治州-电信,CN,0,[],[]
=,219.233.217.93,2016-12-03 08:47:56,2016-12-03 08:47:47,exploit,ftp,spamhaus.org,95,78,2016-06-21 04:10:32,中国-上海-上海-东方有线/电信/联通/移动,CN,0,[],[]
=,120.52.94.122,2016-12-03 08:48:43,2016-12-03 08:48:43,exploit,ftp,spamhaus.org,95,4,2016-09-26 12:30:12,中国-河北-廊坊-联通,CN,0,[],[]
=,61.50.213.227,2016-12-03 08:49:12,2016-12-03 08:49:09,exploit,ftp,spamhaus.org,95,20,2016-06-13 03:52:06,中国-北京-北京-联通,CN,0,[],[]
=,113.108.189.51,2016-12-03 08:49:16,2016-12-03 08:49:16,exploit,ftp,spamhaus.org,95,154,2016-06-12 00:39:01,中国-广东-广州-电信,CN,0,[],[]
=,111.123.225.114,2016-12-03 08:49:15,2016-12-03 08:49:10,spam,ftp,spamhaus.org,95,139,2016-06-14 14:56:05,中国-贵州-黔东南苗族侗族自治州-电信,CN,1,FreeBSD 7.0-CURRENT,22-23-443-3389
+,61.146.233.116,2016-12-03 08:50:06,2016-12-03 08:50:01,exploit,ftp,spamhaus.org,95,164,2016-06-13 01:08:32,中国-广东-茂名-电信,CN,0,[],[]
=,221.130.179.36,2016-12-03 08:50:22,2016-12-03 08:50:16,suspicious_rdata,ssh,nothink.org,43.661,341,中国-上海-上海-移动,2016-06-13 02:45:29,0,[],[]
=,140.206.118.134,2016-12-03 08:51:48,2016-12-03 08:51:48,exploit,ftp,spamhaus.org,95,91,2016-06-20 01:24:27,中国-上海-上海-联通,CN,0,[],[]
+,120.25.108.11,2016-12-03 08:54:51,2016-12-03 08:54:23,suspicious_rdata,ssh,nothink.org,43.661,23,中国-广东-深圳-阿里云/电信/联通/移动/铁通/教育网,2016-06-25 12:25:57,1,[],[]
+,115.28.122.198,2016-12-03 08:54:51,2016-12-03 08:54:23,suspicious_rdata,ssh,nothink.org,43.661,31,中国-山东-青岛-阿里云/电信/联通/移动/铁通/教育网,2016-06-07 01:20:05,1,[],[]
=,202.118.1.130,2016-12-03 08:54:51,2016-12-03 08:54:23,suspicious_rdata,ssh,nothink.org,43.661,78,中国-辽宁-沈阳-东北大学-教育网,2016-06-13 02:47:27,1,[],[]
=,106.57.160.194,2016-12-03 09:04:13,2016-12-03 09:04:13,malware,[],rules.emergingthreats.net,65,13,2016-09-09 14:23:04,中国-云南-普洱-电信,CN,1,[],[]
+,110.191.131.47,2016-12-03 09:04:13,2016-12-03 09:04:13,malware,[],rules.emergingthreats.net,65,21,2016-09-03 11:28:38,中国-四川-达州-电信,CN,0,[],[]
=,115.231.231.160,2016-12-03 09:04:13,2016-12-03 09:04:13,malware,[],rules.emergingthreats.net,65,17,2016-09-12 13:06:10,中国-浙江-嘉兴-电信,CN,1,[],[]
=,116.228.1.108,2016-12-03 09:04:13,2016-12-03 09:04:13,malware,[],rules.emergingthreats.net,65,71,2016-07-15 18:12:53,中国-上海-上海-电信,CN,0,[],[]
+,116.228.218.204,2016-12-03 09:04:13,2016-12-03 09:04:13,malware,[],rules.emergingthreats.net,65,22,2016-08-24 03:00:47,中国-上海-上海-电信,CN,1,Microsoft Windows Server 2008 R2,80-443-2809-3389-5001-7272-7277-8000-8878-8879-8880-8881-8882-8883-8888-9043-9044-9045-9046-9047-9060-9061-9062-9063-9064-9080-9081-9082-9083-9100-9101-9102-9103-9104-9352-9353-9354-9355-9356-9357-9443-9444-9445-9446-9809-9810-9811-9812-9813-9900-9997-9999
=,116.31.116.38,2016-12-03 09:04:13,2016-12-03 09:04:13,malware,[],rules.emergingthreats.net,65,104,2016-06-11 00:14:20,中国-广东-佛山-电信,CN,0,[],[]
=,182.92.130.83,2016-12-03 09:04:13,2016-12-03 09:04:13,malware,[],rules.emergingthreats.net,65,31,2016-08-27 08:38:50,中国-北京-北京-阿里云/电信/联通/移动/铁通/教育网,CN,1,[],[]
=,183.60.233.170,2016-12-03 09:04:13,2016-12-03 09:04:13,malware,[],rules.emergingthreats.net,65,5,2016-09-23 06:06:02,中国-广东-佛山-电信,CN,1,Sony Ericsson U8i Vivaz mobile phone,10246-11680-14505-15236-18555-19767-20304-27375-28345-32661-34444-35964-39529-46275-54104-56838-62259-62959-63511
=,202.117.2.40,2016-12-03 09:04:13,2016-12-03 09:04:13,malware,[],rules.emergingthreats.net,65,84,2016-08-12 04:37:00,中国-陕西-西安-西安交通大学-教育网,CN,1,Linux2.6.22(Kubuntu_x86),8800
=,218.30.253.172,2016-12-03 09:04:13,2016-12-03 09:04:13,malware,[],rules.emergingthreats.net,65,31,2016-09-03 09:05:27,中国-上海-上海-电信,CN,1,[],[]
=,218.91.153.179,2016-12-03 09:04:13,2016-12-03 09:04:13,malware,[],rules.emergingthreats.net,65,16,2016-07-26 04:09:56,中国-江苏-扬州-电信,CN,1,Linux 2.6.9 (CentOS 4.4),22-126-869-872-9464-23135-23498-23856-52182-58465
=,219.246.37.227,2016-12-03 09:04:13,2016-12-03 09:04:13,malware,[],rules.emergingthreats.net,65,2,2016-09-26 01:33:13,中国-甘肃-兰州-兰州大学-教育网,CN,0,[],[]
+,222.162.70.31,2016-12-03 09:04:13,2016-12-03 09:04:13,malware,[],rules.emergingthreats.net,65,23,2016-09-01 02:13:42,中国-吉林-延边朝鲜族自治州-联通,CN,0,[],[]
=,222.184.79.60,2016-12-03 09:04:13,2016-12-03 09:04:13,malware,[],rules.emergingthreats.net,65,12,2016-09-11 03:48:47,中国-江苏-淮安-电信,CN,1,[],[]
=,222.186.130.201,2016-12-03 09:04:13,2016-12-03 09:04:13,malware,[],rules.emergingthreats.net,65,15,2016-09-16 04:08:54,中国-江苏-镇江-电信,CN,1,Microsoft Windows XP SP2 or Windows Server 2003 SP1 or SP2,135-139-1025-1026-2794-4507-5169-7746-7875-14559-15112-16188-18922-20906-27252-28932-29538-29959-32987-35735-37643-38558-40589-42400-42411-43324-47394-47851-50872-52090-52966-53486-53718-55498-56862-56970-61480-62791-65303
=,222.186.15.158,2016-12-03 09:04:13,2016-12-03 09:04:13,malware,[],rules.emergingthreats.net,65,26,2016-08-29 11:02:42,中国-江苏-镇江-电信,CN,1,Microsoft Windows XP SP2 or Windows Small Business Server 2003,199-995-3389-21765-40590-58576-59710
=,222.186.30.115,2016-12-03 09:04:13,2016-12-03 09:04:13,malware,[],rules.emergingthreats.net,65,53,2016-08-01 08:32:32,中国-江苏-镇江-电信,CN,0,[],[]
=,222.186.31.86,2016-12-03 09:04:13,2016-12-03 09:04:13,malware,[],rules.emergingthreats.net,65,14,2016-09-12 07:53:47,中国-江苏-镇江-电信,CN,1,Linux 2.6.28,3719-14051-21070-24459-27526-31753-38500-40615-57625-57982-64732
=,222.186.56.201,2016-12-03 09:04:13,2016-12-03 09:04:13,malware,[],rules.emergingthreats.net,65,8,2016-09-18 14:56:42,中国-江苏-镇江-电信,CN,0,[],[]
+,222.187.223.194,2016-12-03 09:04:13,2016-12-03 09:04:13,malware,[],rules.emergingthreats.net,65,25,2016-09-08 09:40:17,中国-江苏-宿迁-电信,CN,0,[],[]
=,223.167.85.18,2016-12-03 09:04:13,2016-12-03 09:04:13,malware,[],rules.emergingthreats.net,65,14,2016-09-15 02:00:40,中国-上海-上海-联通,CN,1,Xylan OmniStack switch (version 3.4.7),10000
+,42.159.194.163,2016-12-03 09:04:13,2016-12-03 09:04:13,malware,[],rules.emergingthreats.net,65,37,2016-08-29 11:02:42,中国-上海-上海-microsoft.com-电信/联通/移动,CN,0,[],[]
=,42.159.194.205,2016-12-03 09:04:13,2016-12-03 09:04:13,malware,[],rules.emergingthreats.net,65,37,2016-08-27 15:34:44,中国-上海-上海-microsoft.com-电信/联通/移动,CN,1,Linux 2.6.32 - 2.6.39,22-666-8080
+,42.51.17.8,2016-12-03 09:04:13,2016-12-03 09:04:13,malware,[],rules.emergingthreats.net,65,25,2016-08-30 01:35:40,中国-河南-洛阳-电信/联通/移动,CN,0,[],[]
=,42.51.37.153,2016-12-03 09:04:13,2016-12-03 09:04:13,malware,[],rules.emergingthreats.net,65,26,2016-08-29 11:02:42,中国-河南-洛阳-电信/联通/移动,CN,0,[],[]
=,43.254.89.2,2016-12-03 09:04:13,2016-12-03 09:04:13,malware,[],rules.emergingthreats.net,65,33,2016-09-01 02:43:18,中国-北京-北京-电信,CN,1,Linux 3.8,22
=,43.254.89.3,2016-12-03 09:04:13,2016-12-03 09:04:13,malware,[],rules.emergingthreats.net,65,36,2016-08-31 05:01:17,中国-北京-北京-电信,CN,1,[],[]
=,45.248.86.97,2016-12-03 09:04:13,2016-12-03 09:04:13,malware,[],rules.emergingthreats.net,65,35,2016-09-04 11:42:54,中国-中国,CN,0,[],[]
=,49.67.231.154,2016-12-03 09:04:13,2016-12-03 09:04:13,malware,[],rules.emergingthreats.net,65,26,2016-08-29 09:30:58,中国-江苏-南通-电信,CN,0,[],[]
+,54.223.97.133,2016-12-03 09:04:13,2016-12-03 09:04:13,malware,[],rules.emergingthreats.net,65,21,2016-09-05 08:55:17,中国-北京-北京-amazon.com-电信/联通/铁通,CN,0,[],[]
=,61.151.213.242,2016-12-03 09:04:13,2016-12-03 09:04:13,malware,[],rules.emergingthreats.net,65,30,2016-09-05 03:38:11,中国-上海-上海-电信,CN,0,[],[]
=,112.124.3.15,2016-12-03 09:15:47,2016-12-03 09:15:47,feodo_botnet,[],feodotracker.abuse.ch,65,102,中国-浙江-杭州-阿里云/电信/联通/移动/铁通/教育网,2016-06-12 00:41:43,1,None,21-80-135-139-3306-3389-49152
=,114.215.108.157,2016-12-03 09:15:47,2016-12-03 09:15:47,feodo_botnet,[],feodotracker.abuse.ch,65,102,中国-山东-青岛-阿里云/电信/联通/移动/铁通/教育网,2016-06-12 00:41:43,0,[],[]
=,42.51.10.74,2016-12-03 09:32:42,2016-12-03 09:32:29,phishing_rdata,[],openphish.com,26.532,58,中国-河南-洛阳-电信/联通/移动,2016-06-12 03:34:37,1,Microsoft Windows XP SP2 or SP3,21-80-1030-1031-1765-1947-2014-2382-3306-3389-8009-9999-16002-16005-16008-16013-16014-16016-20002-20003-20004-42424
